tick,sol,sensor.temperature,sensor.wind_speed,sensor.solar_irradiance,sensor.day_phase,sensor.dust,energy.generated,energy.solar_gen,energy.wind_gen,energy.nuclear_gen,energy.consumed,energy.delta,energy.battery,energy.predicted_delta,energy.slope,energy.level,event.active,energy.alert
15,0,-28.400497104761097,23.327797531569885,40.40773550264145,0.8535533905932737,0.5561367961964407,26.91,1.52,25.39,0.0,38.0,-11.09,52.31,-15.51,-0.9643,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
16,0,-28.522371673526308,23.633806977509288,40.3067359143082,0.7500000000000002,0.558766703798423,27.73,1.33,26.4,0.0,38.0,-10.27,51.28,-15.29,-0.8539,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
17,0,-28.856912630653625,24.3582477418893,36.421745797524366,0.6294095225512603,0.5678656458878852,69.91,1.01,28.9,40.0,41.0,28.91,54.17,-14.89,-0.7431,LOW,Sandstorm,ALERTA: reduzir consumo — tendência negativa detectada
18,0,-29.176924161424164,24.518037986421604,32.646953055553574,0.5,0.5683010766306661,70.2,0.72,29.48,40.0,41.0,29.2,57.09,-5.33,0.1157,NOMINAL,Sandstorm,Geração: 70.2 kW  Consumo: 41.0 kW  Saldo: +29.2 kW
19,0,-29.136599579237778,24.22574448268482,34.76988947958815,0.3705904774487398,0.5880202618624283,69.0,0.57,28.44,40.0,46.0,23.0,59.39,2.46,0.7214,HIGH,Sandstorm,Geração: 69.0 kW  Consumo: 46.0 kW  Saldo: +23.0 kW
20,0,-29.225473770957656,23.7126432143247,37.85429228455744,0.2499999999999999,0.5979587413638154,67.08,0.42,26.67,40.0,46.0,21.08,61.5,7.51,1.0457,HIGH,Sandstorm,Geração: 67.1 kW  Consumo: 46.0 kW  Saldo: +21.1 kW
21,0,-29.486365107421214,24.485119022393825,37.67023559003608,0.14644660940672627,0.6036735811843809,69.6,0.24,29.36,40.0,46.0,23.6,63.86,11.27,1.2396,HIGH,Sandstorm,Geração: 69.6 kW  Consumo: 46.0 kW  Saldo: +23.6 kW
22,0,-29.968855145156084,23.974441209181222,34.19378671491937,0.06698729810778076,0.6063285415531359,67.66,0.1,27.56,40.0,46.0,21.66,66.03,14.86,1.3998,HIGH,Sandstorm,Geração: 67.7 kW  Consumo: 46.0 kW  Saldo: +21.7 kW
23,0,-29.849441776206092,24.62656931497996,36.686777811023035,0.017037086855465844,0.5962680829152428,69.9,0.03,29.87,40.0,46.0,23.9,68.42,17.49,1.4805,HIGH,Sandstorm,Geração: 69.9 kW  Consumo: 46.0 kW  Saldo: +23.9 kW
24,1,-29.54321555230774,24.342889047032116,39.378457244526444,0.0,0.6160001124689406,68.85,0.0,28.85,40.0,46.0,22.85,70.7,20.09,1.5501,HIGH,Sandstorm,Geração: 68.8 kW  Consumo: 46.0 kW  Saldo: +22.8 kW
